ARQUIVO DE REFERENCIA
AMOSTRA: IGA-010-E-LN6N (-196)
Usuário: Paulo Henrique Diniz
Tipo: Normalizada
EixoY(0-1)	Comprimento de onda(nm)


0.580001 1523.612596
0.574555 1523.981096
0.562532 1524.367174
0.567916 1524.39493
0.556372 1525.011123
0.549934 1525.113076
0.543751 1525.621764
0.531595 1525.784337
0.537363 1525.926688
0.525185 1526.026405
0.519034 1526.805539
0.512877 1527.320796
0.505608 1527.934893
0.492356 1528.568847
0.498371 1528.57329
0.486482 1529.254489
0.480638 1529.35064
0.474443 1529.656555
0.468632 1529.964453
0.462321 1530.269773
0.456318 1530.57668
0.449948 1530.678982
0.443848 1531.525949
0.438046 1531.969032
0.431842 1532.139763
0.425609 1532.276562
0.418841 1533.086296
0.411984 1533.388801
0.405739 1533.734682
0.399149 1534.151179
0.392033 1534.704931
0.3852 1534.939988
0.379889 1535.250464
0.37247 1535.955492
0.366111 1536.192992
0.359617 1536.29466
0.35322 1536.802245
0.346756 1537.106773
0.339721 1537.678645
0.332112 1538.38269
0.324994 1539.089271
0.31829 1539.324992
0.310361 1540.365241
0.304028 1540.980947
0.297791 1541.6245
0.284972 1542.193901
0.29107 1542.197987
0.279015 1542.503513
0.272868 1542.9949
0.265466 1543.444752
0.258915 1543.883977
0.252648 1544.527371
0.244816 1545.027561
0.236827 1545.999928
0.230847 1546.306954
0.22597 1547.536687
0.220142 1548.182347
0.20865 1548.557483
0.213906 1548.825899
0.201838 1549.350913
0.195761 1550.180299
0.189517 1551.077199
0.183081 1552.03192
0.177337 1553.463826
0.170869 1554.106189
0.164982 1554.41369
0.159504 1555.399003
0.152333 1556.30802
0.145648 1557.933855
0.139009 1558.963963
0.132427 1560.665029
0.125477 1561.980604
0.119404 1563.300699
0.113541 1565.184963
0.107179 1566.994258
0.100721 1568.513467
0.093742 1570.330843
0.088088 1571.786626
0.081914 1573.878428
0.075048 1575.910358
0.069507 1577.9089
0.064029 1579.907758
0.058066 1582.241973
