ARQUIVO DE REFERENCIA
AMOSTRA: IGA-010-E-LN6N (-30)
Usuário: Paulo Henrique Diniz
Tipo: Normalizada
EixoY(0-1)	Comprimento de onda(nm)

0.862749 1611.052867
0.855961 1611.828715
0.848699 1612.500767
0.836294 1612.9436
0.84278 1612.977033
0.829948 1613.755515
0.822907 1614.057069
0.816438 1614.868349
0.808882 1615.950744
0.793228 1616.775809
0.801404 1616.817954
0.785427 1616.870736
0.77871 1616.998601
0.773334 1617.686815
0.766399 1618.124057
0.760675 1618.257037
0.753283 1619.047474
0.745894 1619.504899
0.73841 1620.277162
0.726228 1620.822496
0.731597 1620.850173
0.720837 1621.47041
0.713209 1621.994174
0.707251 1622.41393
0.700487 1622.514204
0.693099 1623.209735
0.685611 1624.059201
0.677427 1624.118372
0.669136 1624.785121
0.661511 1625.17858
0.654635 1625.746444
0.64635 1626.492055
0.638441 1626.676522
0.631267 1627.292715
0.622968 1627.948163
