ARQUIVO DE REFERENCIA
AMOSTRA: IS-010-E-LN6N
Usuário: Paulo Henrique Diniz
Área: 0.7853981634 mm²
Responsividade máxima: 430000 V/W 
Tipo: Absoluta
Método para achar os pontos abaixo: Multiplicação da curva normalizada pela responsividade máxima.
Responsividade(V/W)	Comprimento de onda(nm)
405483.98 5419.586721
401172.8 5422.777037
399419.26 5424.152517
397784.83 5427.06961
391779.02 5428.935058
395467.56 5429.670761
389881 5430.06752
393674.46 5430.404076
387806.25 5431.415569
385439.53 5434.904745
383349.73 5435.357429
380928.83 5440.995842
379189.48 5448.129703
374735.97 5449.01082
376873.07 5449.838538
372194.24 5451.081878
369825.8 5451.749561
367514.55 5453.090667
365003.78 5456.057432
362717.04 5460.065504
360078.56 5462.51019
357921.25 5465.891603
355395.43 5467.964092
352795.65 5473.716215
338950.51 5476.329514
342253.77 5476.366694
345436.2 5476.904924
347533.74 5477.091024
350280.15 5478.993192
336771.27 5480.652236
334385.2 5484.472671
331953.55 5488.850086
329137.48 5491.917157
326749.26 5492.853577
324055.31 5494.400972
321692.46 5494.829417
319504.19 5496.675974
316907.85 5496.94445
314532.53 5501.083938
302636.15 5502.325042
304709.61 5502.508997
306976.14 5502.710069
309820.16 5503.600542
312006.28 5503.794488
300697.28 5512.359666
298330.99 5515.722537
293379.54 5515.921381
291306.08 5515.992222
295790.55 5516.135284
288732.96 5517.422366
286191.23 5518.982761
283510.61 5521.476207
281153.78 5525.299209
278999.05 5525.872489
276488.71 5528.584464
274252.28 5530.682621
271766.45 5532.886621
269584.63 5536.520143
267056.66 5541.144886
264500.74 5541.30034
262124.13 5541.804716
259547.57 5543.157485
256782.24 5543.550263
254367.79 5547.291058
251923.24 5548.476744
249559.96 5552.597848
247028.12 5556.464334
241410.17 5556.603986
244378.03 5558.007509
238810.82 5559.818252
236241.57 5560.220323
233312.84 5560.478725
231057.06 5568.564421
228237.98 5571.384004
225562.09 5578.801868
218023.33 5579.025907
220706.96 5579.647324
223020.36 5580.872927
215223.6 5581.457416
212957.07 5581.638539
210356.86 5586.000986
208014.65 5589.366002
205520.65 5591.56765
199942.26 5591.966744
192097.34 5592.546949
202561.39 5593.092041
194604.24 5593.533803
197079.32 5594.009291
189918.1 5601.794735
187728.54 5605.044801
184718.97 5608.606517
182061.57 5613.728344
171548.07 5614.709901
176916.19 5615.186205
179181.86 5616.152724
174342.64 5616.998531
169338.3 5621.785842
159235.45 5630.075796
164443.18 5630.155628
162192.56 5630.338168
166917.4 5631.396576
156863.57 5639.051677
147054.41 5640.348398
149642.15 5640.578006
151860.52 5640.774813
154448.26 5641.004421
139686.79 5647.99028
145039 5648.465153
142433.63 5649.892448
137036.27 5652.527095
135269.4 5660.995623
132696.28 5662.169892
130376.86 5666.68577
124749.45 5667.972367
127530.26 5668.219063
122393.91 5673.836172
119834.98 5680.039564
116938.93 5682.462521
113977.09 5686.409595
111017.4 5688.443574
108507.06 5690.900755
106351.47 5692.622764
103739.65 5695.199431
101009.15 5698.018196
98321.22 5701.73474
92548.47 5703.519169
95553.74 5704.4239
89283.48 5705.39866
86483.75 5708.212355
83891.28 5712.575517
81601.96 5719.262142
78880.92 5723.613888
76211.05 5725.291353
73891.63 5730.060955
71536.95 5730.49343
69316 5733.231061
66538.63 5736.680559
63761.26 5741.542359
61356.7 5742.472445
57171.08 5748.864488
54534.32 5749.394987
59315.92 5749.95206
52145.67 5755.792292
49317.13 5758.118451
46992.55 5768.119936
43933.53 5772.696527
41117.46 5775.763599
38588.2 5781.408587
35901.99 5783.084622
33445.83 5786.081931
30543.76 5788.222746
27271.46 5797.500955
24802.4 5807.106336
21641.9 5819.942692
19379.24 5828.57068
17202.58 5835.267292
15387.55 5849.523894
13702.38 5863.153857
12852.27 5876.857943
11660.74 5894.486789
10774.08 5912.78079
10371.6 5929.332954
10245.18 5943.227535
9440.65 5959.614482
8858 5979.338023
8410.8 5997.819987




