ARQUIVO DE REFERENCIA
AMOSTRA: MCT20-010-E-LN6N
Usuário: Paulo Henrique Diniz

Responsividade (A/W)	Comprimento de onda(nm)

0.698179 19034.301024
0.692414 19051.564221
0.684575 19071.047151
0.680096 19086.507062
0.671633 19094.67602
0.66367 19121.739644
0.657695 19122.161086
0.650229 19134.045761
0.644629 19145.798735
0.638282 19157.60439
0.630068 19169.541745
0.621855 19181.4791
0.614719 19189.554404
0.609413 19220.216678
0.600954 19258.673294
0.595549 19282.807251
0.589012 19312.519581
0.580241 19346.355911
0.57259 19378.039821
0.566992 19401.150667
0.559005 19426.701665
0.550571 19470.456865
0.544226 19493.620392
0.537882 19516.783918
0.530046 19562.768549
0.523824 19574.565423
0.515115 19605.467685
0.504514 19634.98902
0.494587 19678.849582
0.487869 19702.039448
0.48115 19725.229314
0.474805 19748.392841
0.469207 19771.503687
0.462115 19794.719893
0.45241 19818.120481
0.446065 19841.284007
0.438226 19864.552894
0.431881 19887.71642
0.424416 19910.958967
0.418818 19934.069813
0.412099 19957.25968
0.405381 19980.449546
0.396919 19999.976376
0.391571 20026.855619
0.385226 20053.805103
0.377016 20092.244159
0.369552 20119.272663
0.362462 20153.846741
0.3559 20174.276272
0.350505 20201.874762
0.344286 20222.239997
0.3382 20235.063954
0.331234 20262.057338
0.324018 20292.854239
0.317301 20323.61602
0.311513 20361.884284
0.305077 20388.473616
0.298889 20396.848656
0.293414 20408.59285
0.287143 20427.685643
0.280225 20447.383109
0.271515 20470.713456
0.263178 20490.231506
0.253846 20513.605753
0.243993 20552.917897
0.236924 20564.017285
0.225473 20572.396964
0.231561 20573.004278
0.219321 20595.546902
0.213547 20609.583742
0.206879 20633.24778
0.200769 20644.360852
0.194547 20658.906984
0.188508 20685.834936
0.18274 20703.098341
0.176272 20733.842562
0.170482 20758.003696
0.163401 20780.182366
0.157539 20781.632565
0.151735 20790.650706
0.145583 20808.834677
0.138687 20822.715294
0.132531 20862.902458
0.126186 20886.065984
0.120588 20909.17683
0.115171 20929.525667
0.108838 20958.186872
0.1023 20978.614729
0.09724 20990.329656
0.091354 21028.604818
0.087375 21059.173438
0.081775 21070.926412
0.076177 21094.037258
0.070952 21117.121764
0.065161 21134.747682
0.059758 21174.701328
0.052042 21190.38952
